DRUG 1,DRUG 2,MECHANISM OF INTERACTION,ALTERNATIVES,RISK RATING
ERLOTINIB,LANSOPRAZOLE,Proton pump inhibitors may decrease the serum concentration of Erlotinib. MOA: Decrease in erlotinib solubility in upper GI tract due to PPI mediated increase in gastric pH,Separate the doses,X
ERLOTINIB,RANITIDINE,H2 blockers may decrease the serum concentration of Erlotinib. MOA: Decrease in Erlotinib solubility in the upper GI tract due to Ranitidine mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,CIMETIDINE,H2 blockers may decrease the serum concentration of Erlotinib. MOA: Decrease in Erlotinib solubility in the upper GI tract due to Ranitidine mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,FAMOTIDINE,H2 blockers may decrease the serum concentration of Erlotinib. MOA: Decrease in Erlotinib solubility in the upper GI tract due to Ranitidine mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,NIZATIDINE,H2 blockers may decrease the serum concentration of Erlotinib. MOA: Decrease in Erlotinib solubility in the upper GI tract due to Ranitidine mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,ANTACID / ALUMINIUM HYDROXIDE,Antacids may decrease the serum concentration of Erlotinib. MOA: Reduced absorption of Erlotinib due to the antacid mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,ANTACID / MAGNESIUM HYDROXIDE,Antacids may decrease the serum concentration of Erlotinib. MOA: Reduced absorption of Erlotinib due to the antacid mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,ANTACID / CALCIUM CARBONATE,Antacids may decrease the serum concentration of Erlotinib. MOA: Reduced absorption of Erlotinib due to the antacid mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,ANTACID / SODIUM BICARBONATE,Antacids may decrease the serum concentration of Erlotinib. MOA: Reduced absorption of Erlotinib due to the antacid mediated increase in gastric pH,Separate the doses,D
ERLOTINIB,CALCIUM,Antacid property of calcium salts may decrease the serum concentration of Erlotinib. MOA: Reduced absorption of Erlotinib due to the antacid mediated increase in gastric pH,Separate the doses,D
ERYTHROMYCIN,DOMPERIDONE,Erythromycin: Increases the serum concentration of Domperidone. Domperidone: Increases the QT prolonging effect of Erythromycin. MOA: Inhibition of CYP3A4 mediated metabolism of Domperidone by Erythromycin,"Metoclopramide, Ondansetron, Itopride (Ganaton)",X
FAROPENEM,FUROSEMIDE,Nephrotoxicity,Torsemide,D
FLUCONAZOLE,DOMPERIDONE,Fluconazole: Increases the serum concentration of Domperidone. Domperidone: Increases the QT prolonging effect of Fluconazole. MOA: Inhibition of CYP3A4 mediated metabolism of Domperidone by Fluconazole,"Metoclopramide, Ondansetron, Itopride (Ganaton)",X
FUROSEMIDE,ACECLOFENAC,NSAIDs may diminish the diuretic effect of Loop Diuretics. Loop Diuretic may enhance the nephrotoxic effect of NSAIDs,Diuretics other than loop diuretics. OR Separate the dosing by 2 hours,D
FUROSEMIDE,ETORICOXIB,NSAIDs may diminish the diuretic effect of Loop Diuretics. Loop Diuretic may enhance the nephrotoxic effect of NSAIDs,Diuretics other than loop diuretics. OR Separate the dosing by 2 hours,D
GABAPENTIN,ANTACID / MAGNESIUM HYDROXIDE,"Magnesium salt may enhance the CNS depressant effect of Gabapentin, Specifically with high dose IV / Epidural Mg(OH)2",Separate the dose by 2hrs,D
GEFITINIB,PANTOPRAZOLE,PPIs may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 12hr before or after administration of PPIs,D
GEFITINIB,RABEPRAZOLE,PPIs may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 12hr before or after administration of PPIs,D
GEFITINIB,ESOMEPRAZOLE,PPIs may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 12hr before or after administration of PPIs,D
GEFITINIB,OMEPRAZOLE,PPIs may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 12hr before or after administration of PPIs,D
GEFITINIB,LANSOPRAZOLE,PPIs may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 12hr before or after administration of PPIs,D
GEFITINIB,RANITIDINE,H2 blockers may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of H2 blockers,D
GEFITINIB,CIMETIDINE,H2 blockers may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of H2 blockers,D
GEFITINIB,FAMOTIDINE,H2 blockers may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of H2 blockers,D
GEFITINIB,NIZATIDINE,H2 blockers may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of H2 blockers,D
GEFITINIB,ANTACID / ALUMINIUM HYDROXIDE,Antacids may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of antacid,D
GEFITINIB,ANTACID / MAGNESIUM HYDROXIDE,Antacids may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of antacid,D
GEFITINIB,ANTACID / CALCIUM CARBONATE,Antacids may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of antacid,D
GEFITINIB,ANTACID / SODIUM BICARBONATE,Antacids may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of antacid,D
GEFITINIB,CALCIUM,Calcium may decrease the serum concentration of Gefitinib. Aqueous solubility of Gefitinib has been shown to decline with increase in gastric pH,Administer Gefitinib 6hr before or after administration of calcium,D
GEFITINIB,PHENYTOIN,CYP3A4 inducers may decrease the serum concentration of Gefitinib. MOA: CYP3A4-mediated metabolism of Gefitinib by Phenytoin,"In the absence of severe adverse drug reaction, increase the Gefitinib dose to 500 mg daily, resume the 250mg dose 7 days after discontinuation of CYP3A4 inducers",D
GEFITINIB,RIFAMPICIN,CYP3A4 inducers may decrease the serum concentration of Gefitinib. MOA: CYP3A4-mediated metabolism of Gefitinib,"In the absence of severe adverse drug reaction, increase the Gefitinib dose to 500 mg daily, resume the 250mg dose 7 days after discontinuation of CYP3A4 inducers",D
HYDROXYZINE,OLANZAPINE,Hydroxyzine may enhance the CNS depressant effect of Olanzapine,--,D
LENALIDOMIDE,DEXAMETHASONE,Dexamethasone may enhance the thrombogenic effect of Lenalidomide,Consider using thromboembolism prophylaxis (LMW heparin/ warfarin) on patient with Multiple myeloma,D
LENVATINIB,DOMPERIDONE,Lenvatinib may enhance the QT-prolonging effect of Domperidone,Itopride (Ganaton),X
LENVATINIB,FLUCONAZOLE,Lenvatinib: increases the QT prolonging effect of Fluconazole. Fluconazole: increases the serum concentration of Lenvatinib. MOA: Fluconazole inhibits CYP3A4 mediated metabolism of Lenvatinib,"Itraconazole, Posaconazole",D
LEVOFLOXACIN,CALCIUM,Antacid property of Calcium may decrease the absorption of Levofloxacin. Calcium salts may decrease the absorption of Levofloxacin,Separate the doses,D
LEVOFLOXACIN,MAGNESIUM HYDROXIDE,Antacid property of Magnesium may decrease the absorption of Levofloxacin. Magnesium salts may decrease the absorption of Levofloxacin,Separate the doses,D
LEVOFLOXACIN,ZINC SULPHATE,Zinc salts may decrease the absorption of Levofloxacin,Separate the doses,D
LINEZOLID,TERBUTALINE,"Linezolid may enhance the hypertensive effect of Terbutaline / Phenylephrine / Salbutamol. MOA: Linezolid causes accumulation of norepinephrine within adrenergic neurons, including sympathetic neurons: sympathomimetics cause release of stored, excess norepinephrine",Monitor patients with Hypertension. Dose reduction of sympathomimetics,D
LINEZOLID,TRAMADOL,Linezolid may enhance the serotonergic effect of Opioids,"Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin - injection OR NSAIDs",D
LINEZOLID,PHENIRAMINE,"Pheniramine may enhance the anticholinergic effect of Linezolid. Concurrent use, use in patients who used MAOIs within the past 14 days is contraindicated","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,PHENYLEPHRINE,"Linezolid may enhance the hypertensive effect of Terbutaline / Phenylephrine / Salbutamol. MOA: Linezolid causes accumulation of norepinephrine within adrenergic neurons, including sympathetic neurons: sympathomimetics cause release of stored, excess norepinephrine",Monitor patients with Hypertension. Dose reduction of sympathomimetics,D
LINEZOLID,SALBUTAMOL,"Linezolid may enhance the hypertensive effect of Terbutaline / Phenylephrine / Salbutamol. MOA: Linezolid causes accumulation of norepinephrine within adrenergic neurons, including sympathetic neurons: sympathomimetics cause release of stored, excess norepinephrine",Monitor patients with Hypertension. Dose reduction of sympathomimetics,D
LINEZOLID,CODEINE,"Enhances the adverse effect of Codeine: serotonin syndrome or opioid toxicity. Concurrent use, use in patients who used MAOIs within the past 14 days is contraindicated","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,DEXTROMETHORPHAN,"Dextromethorphan enhances serotonergic effect of Linezolid: may cause serotonin syndrome. MOA: Increased or additive serotonergic effect. Concurrent use, use in patients who used MAOIs within the past 14 days is contraindicated","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,MORPHINE,"Potential for CNS depression / Respiratory depression and potentiation of morphine related anxiety and confusion. MOA: Potential for excessive serotonin stimulation or potential for each agent to independently alter the CNS activity – the mechanism of interaction is unclear. Concurrent use, use in patients who used MAOIs within the past 14 days is contraindicated","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,TAPENTADOL,"Tapentadol: Enhances toxic effect of Linezolid: additive effect of norepinephrine may lead to adverse cardiovascular effects. Tapentadol: Enhances the serotonergic effect of Linezolid: could result in serotonin toxicity. Concurrent use, use in patients who used MAOIs within the past 14 days is contraindicated","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,AMITRIPTYLINE,"Linezolid may enhance the serotonergic effect of TCAs: resulting in serotonin syndrome. If already receiving TCA, stop promptly on initiation of Linezolid - Monitor patients for Serotonin toxicity for 2 weeks or 24hrs after the last dose of Linezolid. MOA: Additive effect","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
LINEZOLID,NORTRIPTYLINE,"Linezolid may enhance the serotonergic effect of TCAs: resulting in serotonin syndrome. If already receiving TCA, stop promptly on initiation of Linezolid - Monitor patients for Serotonin toxicity for 2 weeks or 24hrs after the last dose of Linezolid. MOA: Additive effect","Vancomycin, Ofloxacin, Tigecycline, Daptomycin - Injection, Quinupristin / Dalfopristin – injection",X
MAGNESIUM HYDROXIDE,PREDNISOLONE,Antacids or antacid properties of Calcium may decrease the bioavailability of Corticosteroid,Separate the dosing by 2 or more hours,D
MAGNESIUM HYDROXIDE,DEXAMETHASONE,Antacids or antacid properties of Calcium may decrease the bioavailability of Corticosteroid,Separate the dosing by 2 or more hours,D
METHOTREXATE,PANTOPRAZOLE,"Proton pump inhibitors or PCABs may increase the serum concentration of Methotrexate. The mechanism involves inhibition of Methotrexate elimination due to proton pump inhibition of the renal hydrogen / potassium ATPase pump. PCABs are pharmacologically similar to PPIs, they are expected to interact in similar manner","H2 blockers, Antacids",D
METHOTREXATE,RABEPRAZOLE,"Proton pump inhibitors or PCABs may increase the serum concentration of Methotrexate. The mechanism involves inhibition of Methotrexate elimination due to proton pump inhibition of the renal hydrogen / potassium ATPase pump. PCABs are pharmacologically similar to PPIs, they are expected to interact in similar manner","H2 blockers, Antacids",D
METHOTREXATE,ESOMEPRAZOLE,"Proton pump inhibitors or PCABs may increase the serum concentration of Methotrexate. The mechanism involves inhibition of Methotrexate elimination due to proton pump inhibition of the renal hydrogen / potassium ATPase pump. PCABs are pharmacologically similar to PPIs, they are expected to interact in similar manner","H2 blockers, Antacids",D
METHOTREXATE,OMEPRAZOLE,"Proton pump inhibitors or PCABs may increase the serum concentration of Methotrexate. The mechanism involves inhibition of Methotrexate elimination due to proton pump inhibition of the renal hydrogen / potassium ATPase pump. PCABs are pharmacologically similar to PPIs, they are expected to interact in similar manner","H2 blockers, Antacids",D
METHOTREXATE,LANSOPRAZOLE,"Proton pump inhibitors or PCABs may increase the serum concentration of Methotrexate. The mechanism involves inhibition of Methotrexate elimination due to proton pump inhibition of the renal hydrogen / potassium ATPase pump. PCABs are pharmacologically similar to PPIs, they are expected to interact in similar manner","H2 blockers, Antacids",D
METHOTREXATE,CELECOXIB,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,ETORICOXIB,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,PARECOXIB,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
